A26,Adin Airport,Adin
L54,Agua Caliente Springs Airport,Agua Caliente Springs
L70,Agua Dulce Airport,Agua Dulce
KAAT,Alturas Municipal Airport,Alturas
A24,California Pines Airport,Alturas
2O3,Angwin Airport-Parrett Field,Angwin
KAPV,Apple Valley Airport,Apple Valley
KACV,Arcata Airport,Arcata/Eureka
KMER,Castle Airport,Atwater
KAUN,Auburn Municipal Airport,Auburn
KAVX,Catalina Airport,Avalon
0O2,Baker Airport,Baker
KBFL,Meadows Field Airport,Bakersfield
L45,Bakersfield Municipal Airport,Bakersfield
KBNG,Banning Municipal Airport,Banning
O02,Nervino Airport,Beckwourth
O55,Southard Field Airport,Bieber
L35,Big Bear City Airport,Big Bear City
KBIH,Eastern Sierra Regional Airport,Bishop
KBLH,Blythe Airport,Blythe
D83,Boonville Airport,Boonville
L08,Borrego Valley Airport,Borrego Springs
KBWC,Brawley Municipal Airport,Brawley
O57,Bryant Field Airport,Bridgeport
F25,Brownsville Airport,Brownsville
KBUR,Bob Hope Airport,Burbank
L62,Elk Hills-Buttonwillow Airport,Buttonwillow
C83,Byron Airport,Byron
KCXL,Calexico International Airport,Calexico
L71,California City Municipal Airport,California City
KCLR,Cliff Hatfield Memorial Airport,Calipatria
KCMA,Camarillo Airport,Camarillo
O61,Cameron Airpark,Cameron Park
KCRQ,Mc Clellan-Palomar Airport,Carlsbad
O59,Cedarville Airport,Cedarville
49X,Chemehuevi Valley Airport,Chemehuevi Valley
O05,Rogers Field Airport,Chester
KCIC,Chico Municipal Airport,Chico
KCNO,Chino Airport,Chino
L77,Chiriaco Summit Airport,Chiriaco Summit
2O6,Chowchilla Airport,Chowchilla
O60,Cloverdale Municipal Airport,Cloverdale
3O8,Harris Ranch Airport,Coalinga
C80,New Coalinga Municipal Airport,Coalinga
O22,Columbia Airport,Columbia
O08,Colusa County Airport,Colusa
KCPM,Compton/Woodley Airport,Compton
KCCR,Buchanan Field Airport,Concord
0O4,Corning Municipal Airport,Corning
KAJO,Corona Municipal Airport,Corona
O09,Round Valley Airport,Covelo
KCEC,Jack Mc Namara Field Airport,Crescent City
KDAG,Barstow-Daggett Airport,Daggett
KEDU,University Airport,Davis
KDWA,Yolo County Airport,Davis/Woodland/Winters
L06,Furnace Creek Airport,Death Valley National Park
L09,Stovepipe Wells Airport,Death Valley National Park
KDLO,Delano Municipal Airport,Delano
D63,Dinsmore Airport,Dinsmore
A32,Butte Valley Airport,Dorris
1O6,Dunsmuir Municipal-Mott Airport,Dunsmuir
KEMT,El Monte Airport,El Monte
KBLU,Blue Canyon - Nyack Airport,Emigrant Gap
KEKA,Murray Field Airport,Eureka
O33,Samoa Field Airport,Eureka
O19,Kneeland Airport,Eureka
O63,Exeter Airport,Exeter
O89,Fall River Mills Airport,Fall River Mills
L18,Fallbrook Community Airpark,Fallbrook
L73,Poso-Kern County Airport,Famoso
F34,Firebaugh Airport,Firebaugh
A28,Fort Bidwell Airport,Fort Bidwell
A30,Scott Valley Airport,Fort Jones
KFOT,Rohnerville Airport,Fortuna
F72,Franklin Field Airport,Franklin
KFAT,Fresno Yosemite International Airport,Fresno
KFCH,Fresno Chandler Executive Airport,Fresno
E79,Sierra Sky Park Airport,Fresno
KFUL,Fullerton Municipal Airport,Fullerton
O16,Garberville Airport,Garberville
0O9,Ward Field Airport,Gasquet
E36,Georgetown Airport,Georgetown
KGOO,Nevada County Air Park,Grass Valley
E45,Pine Mountain Lake Airport,Groveland
E55,Ocean Ridge Airport,Gualala
3O1,Gustine Airport,Gustine
KHAF,Half Moon Bay Airport,Half Moon Bay
KHJO,Hanford Municipal Airport,Hanford
36S,Happy Camp Airport,Happy Camp
KHHR,Jack Northrop Field/Hawthorne Municipal Airport,Hawthorne
F62,Hayfork Airport,Hayfork
KHWD,Hayward Executive Airport,Hayward
KHES,Healdsburg Municipal Airport,Healdsburg
KHMT,Hemet-Ryan Airport,Hemet
H37,Herlong Airport,Herlong
L26,Hesperia Airport,Hesperia
KCVH,Hollister Municipal Airport,Hollister
1C9,Frazier Lake Airpark,Hollister
L04,Holtville Airport,Holtville
O21,Hoopa Airport,Hoopa
H47,Hyampom Airport,Hyampom
KIPL,Imperial County Airport,Imperial
2O7,Independence Airport,Independence
KIYK,Inyokern Airport,Inyokern
KJAQ,Westover Field / Amador County Airport,Jackson
L78,Jacumba Airport,Jacumba
L05,Kern Valley Airport,Kernville
KKIC,Mesa Del Rey Airport,King City
S51,Andy Mc Beth Airport,Klamath Glen
KPOC,Brackett Field Airport,La Verne
1O2,Lampson Field Airport,Lakeport
KWJF,General Wm J Fox Airfield,Lancaster
O24,Lee Vining Airport,Lee Vining
KLHM,Lincoln Regional Airport/Karl Harder Field,Lincoln
KLLR,Little River Airport,Little River
KLVK,Livermore Municipal Airport,Livermore
1O3,Lodi Airport,Lodi
O20,Kingdon Airpark,Lodi
L53,Lodi Airpark,Lodi
KLPC,Lompoc Airport,Lompoc
O26,Lone Pine Airport,Lone Pine
KLGB,Long Beach Airport (Daugherty Field),Long Beach
KLAX,Los Angeles International Airport,Los Angeles
KWHP,Whiteman Airport,Los Angeles
KLSN,Los Banos Municipal Airport,Los Banos
L84,Lost Hills-Kern County Airport,Lost Hills
KMAE,Madera Municipal Airport,Madera
KMMH,Mammoth Yosemite Airport,Mammoth Lakes
KOAR,Marina Municipal Airport,Marina
KMPI,Mariposa-Yosemite Airport,Mariposa
M45,Alpine County Airport,Markleeville
KMYV,Yuba County Airport,Marysville
M90,William Robert Johnston Municipal Airport,Mendota
KMCE,Merced Regional Airport/Macready Field,Merced
KMOD,Modesto City-County Airport-Harry Sham Field,Modesto
KMHV,Mojave Airport,Mojave
KSIY,Siskiyou County Airport,Montague
1O5,Montague Airport-Yreka Rohrer Field,Montague
KMRY,Monterey Regional Airport,Monterey
F70,French Valley Airport,Murrieta/Temecula
KAPC,Napa County Airport,Napa
KEED,Needles Airport,Needles
L88,New Cuyama Airport,New Cuyama
KDVO,Gnoss Field Airport,Novato
O27,Oakdale Airport,Oakdale
KOAK,Metropolitan Oakland International Airport,Oakland
L52,Oceano County Airport,Oceano
KOKB,Oceanside Municipal Airport,Oceanside
L90,Ocotillo Airport,Ocotillo Wells
KONT,Ontario International Airport,Ontario
O37,Haigh Field Airport,Orland
KOVE,Oroville Municipal Airport,Oroville
KOXR,Oxnard Airport,Oxnard
KPSP,Palm Springs International Airport,Palm Springs
KTRM,Jacqueline Cochran Regional Airport,Palm Springs
KUDD,Bermuda Dunes Airport,Palm Springs
KPMD,Palmdale USAF Plant 42 Airport,Palmdale
KPAO,Palo Alto Airport of Santa Clara County,Palo Alto
KPRB,Paso Robles Municipal Airport,Paso Robles
L65,Perris Valley Airport,Perris
O69,Petaluma Municipal Airport,Petaluma
KPVF,Placerville Airport,Placerville
KPTV,Porterville Municipal Airport,Porterville
2O1,Gansner Field Airport,Quincy
KRNM,Ramona Airport,Ramona
KRIU,Rancho Murieta Airport,Rancho Murieta
O39,Ravendale Airport,Ravendale
KRBL,Red Bluff Municipal Airport,Red Bluff
KRDD,Redding Municipal Airport,Redding
O85,Benton Field Airport,Redding
KREI,Redlands Municipal Airport,Redlands
O32,Reedley Municipal Airport,Reedley
L67,Rialto Municipal Airport (Miro Field),Rialto
L36,Rio Linda Airport,Rio Linda
O88,Rio Vista Municipal Airport,Rio Vista
KRAL,Riverside Municipal Airport,Riverside
KRIV,March Air Reserve Base,Riverside
KRIR,Flabob Airport,Riverside/Rubidoux
L00,Rosamond Skypark Airport,Rosamond
T42,Ruth Airport,Ruth
KSAC,Sacramento Executive Airport,Sacramento
KMHR,Sacramento Mather Airport,Sacramento
KSMF,Sacramento International Airport,Sacramento
KMCC,Mc Clellan Airfield,Sacramento
KSNS,Salinas Municipal Airport,Salinas
KSAS,Salton Sea Airport,Salton City
KCPU,Calaveras County Airport - Maury Rasmussen Field,San Andreas
KSBD,San Bernardino International Airport,San Bernardino
KSQL,San Carlos Airport,San Carlos
KMYF,Montgomery Field Airport,San Diego
KSDM,Brown Field Municipal Airport,San Diego
KSAN,San Diego International Airport,San Diego
KSEE,Gillespie Field Airport,San Diego/El Cajon
KSFO,San Francisco International Airport,San Francisco
KSJC,Norman Y. Mineta San Jose International Airport,San Jose
KRHV,Reid-Hillview Airport of Santa Clara County,San Jose
KSBP,San Luis County Regional Airport,San Luis Obispo
E16,South County Airport of Santa Clara County,San Martin
KSNA,John Wayne-Orange County Airport,Santa Ana
KSBA,Santa Barbara Municipal Airport,Santa Barbara
KSMX,Santa Maria Public Airport/Capt G Allan Hancock Field,Santa Maria
KSMO,Santa Monica Municipal Airport,Santa Monica
KSZP,Santa Paula Airport,Santa Paula
KSTS,Charles M. Schulz - Sonoma County Airport,Santa Rosa
KIZA,Santa Ynez Airport,Santa Ynez
0Q3,Sonoma Valley Airport,Schellville/Sonoma
0Q4,Selma Airport,Selma
KMIT,Shafter Airport-Minter Field,Shafter
0Q5,Shelter Cove Airport,Shelter Cove
L61,Shoshone Airport,Shoshone
O79,Sierraville Dearwater Airport,Sierraville
0Q9,Sonoma Skypark Airport,Sonoma
KTVL,Lake Tahoe Airport,South Lake Tahoe
KSCK,Stockton Metropolitan Airport,Stockton
1Q1,Eckert Field Airport,Strathmore
KSVE,Susanville Municipal Airport,Susanville
1Q2,Spaulding Airport,Susanville
L17,Taft-Kern County Airport,Taft
KTSP,Tehachapi Municipal Airport,Tehachapi
L94,Mountain Valley Airport,Tehachapi
KTOA,Zamperini Field Airport,Torrance
KTCY,Tracy Municipal Airport,Tracy
1Q4,New Jerusalem Airport,Tracy
O86,Trinity Center Airport,Trinity Center
L72,Trona Airport,Trona
KTRK,Truckee-Tahoe Airport,Truckee
KTLR,Mefford Field Airport,Tulare
O81,Tulelake Municipal Airport,Tulelake
O15,Turlock Municipal Airport,Turlock
KTNP,Twentynine Palms Airport,Twentynine Palms
KUKI,Ukiah Municipal Airport,Ukiah
KCCB,Cable Airport,Upland
1Q5,Gravelly Valley Airport,Upper Lake
KVCB,Nut Tree Airport,Vacaville
KVNY,Van Nuys Airport,Van Nuys
KVCV,Southern California Logistics Airport,Victorville
KVIS,Visalia Municipal Airport,Visalia
D86,Sequoia Field Airport,Visalia
L19,Wasco-Kern County Airport,Wasco
KWVI,Watsonville Municipal Airport,Watsonville
O54,Lonnie Pool Field/Weaverville Airport,Weaverville
O46,Weed Airport,Weed
O28,Ells Field-Willits Municipal Airport,Willits
KWLW,Willows-Glenn County Airport,Willows
O42,Woodlake Airport,Woodlake
O41,Watts-Woodland Airport,Woodland
O52,Sutter County Airport,Yuba City
L22,Yucca Valley Airport,Yucca Valley
